r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R1,P22129,Indonesia,Gas Combined Cycle_IDEast,Gas,False,3.0141010753,0.9141010753000001,3.0141010753,0,0.0,2.1,,True
R1,P22147,Indonesia,Gas Combined Cycle_IDKA,Gas,False,0.8587692315,0.1787692315,0.8587692315,0,0.0,0.6799999999999999,,True
R1,P22165,Indonesia,Gas Combined Cycle_IDSA,Gas,False,17.109372915094756,2.219284324,17.109372915094756,0,0.0,8.980088591094756,1.2061833663589394,True
R1,P22183,Indonesia,Gas Combined Cycle_IDJW,Gas,False,45.84954011365061,15.48625537,45.84954011365061,0,0.0,10.0,1.1618932875305692,True
R1,P22201,Indonesia,Gas Turbine_IDEast,Gas,False,15.0,5.0,15.0,0,0.0,5.0,1.0,True
R1,P22218,Indonesia,Gas Turbine_IDKA,Gas,False,15.0,5.0,15.0,0,0.0,5.0,1.0,True
R1,P22235,Indonesia,Gas Turbine_IDSA,Gas,False,15.0,0.335819716,15.0,0,0.0,5.0,1.0,True
R1,P22269,Indonesia,Gas Engine_IDEast,Gas,False,18.1157083681,1.1807083681,18.1157083681,0,0.0,5.000000000000002,1.0000000000000004,True
R1,P22286,Indonesia,Gas Engine_IDKA,Gas,False,14.832464524815435,0.5488861181,14.832464524815435,0,0.0,5.0,1.0830037456255486,True
R1,P22303,Indonesia,Gas Engine_IDSA,Gas,False,16.69026246410638,1.80367875,16.69026246410638,0,0.0,5.0,1.6066838046272491,True
R1,P22320,Indonesia,Gas Engine_IDJW,Gas,False,15.4415467641,0.2385467641,15.4415467641,0,0.0,5.0,1.0,True
