ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Power Generation,2025,164799.36,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Power Generation,2030,1.285852739535098e-12,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Power Generation,2035,2.791944252908064e-11,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Power Generation,2040,2868.823177586847,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Power Generation,2060,3004.4311450335485,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Curtailed Energy Production,2025,299200.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Curtailed Energy Production,2030,2.334518408742008e-12,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Curtailed Energy Production,2040,1.0100935990268194e-10,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Curtailed Energy Production,2060,1607.7111390832385,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Energy Generation,2025,299200.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Energy Generation,2030,1457.3723452681947,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Energy Generation,2040,5.050467995134097e-11,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Energy Generation,2060,1804.736121802385,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Power Generation,2025,164799.36,Megawatt,inferred
